n,z,bindingEnergy(keV)
1,0,0
1,1,1112.2831
2,1,2827.2654
3,1,1720.4491
4,1,1336.3592
5,1,961.6395
6,1,940
1,2,2572.68044
2,2,7073.9156
3,2,5512.1325
4,2,4878.5199
5,2,4123.0578
6,2,3924.521
7,2,3349.038
8,2,2995.134
1,3,1153.7603
2,3,5266.1325
3,3,5332.3312
4,3,5606.4401
5,3,5159.7124
6,3,5037.7685
7,3,4531.3512
8,3,4155.3817
9,3,3791.5999
10,3,3507.6307
1,4,18
2,4,4487.2478
3,4,5371.5487
4,4,7062.4356
5,4,6462.6693
6,4,6497.6306
7,4,5952.5402
8,4,5720.7223
9,4,5241.4359
10,4,4993.8973
11,4,4540.9708
12,4,4285.2851
1,5,-467
2,5,3558.7055
3,5,4717.1551
4,5,6257.0713
5,5,6475.0835
6,5,6927.7323
7,5,6631.2237
8,5,6496.4194
9,5,6101.6451
10,5,5880.0438
11,5,5507.3535
12,5,5269.6677
13,5,4976.6306
14,5,4719.6346
15,5,4405.6529
16,5,4152.5265
2,6,3101.5242
3,6,4337.4233
4,6,6032.0426
5,6,6676.4563
6,6,7680.1446
7,6,7469.8495
8,6,7520.3198
9,6,7100.1696
10,6,6922.0546
11,6,6558.0262
12,6,6426.1321
13,6,6118.274
14,6,5961.4356
15,6,5674
16,6,5421.0778
17,6,5077
3,7,3643.6724
4,7,5358.4023
5,7,6170.11
6,7,7238.8634
7,7,7475.6148
8,7,7699.4603
9,7,7373.7971
10,7,7286.2294
11,7,7038.5627
12,7,6948.5452
13,7,6709.1717
14,7,6609.0159
15,7,6378.5347
16,7,6236.6721
17,7,5887
18,7,5613
3,8,3162.4372
4,8,4881.9755
5,8,5811.7636
6,8,7052.2783
7,8,7463.6915
8,8,7976.2072
9,8,7750.7291
10,8,7767.0981
11,8,7566.4952
12,8,7568.5707
13,8,7389.3747
14,8,7364.8722
15,8,7163.4856
16,8,7039.6855
17,8,6727.8058
18,8,6497.479
19,8,6185
20,8,5988
4,9,4297
5,9,5285.2091
6,9,6497.4597
7,9,6964.049
8,9,7542.3284
9,9,7631.6383
10,9,7779.0192
11,9,7720.1351
12,9,7738.2934
13,9,7624.2954
14,9,7622.3447
15,9,7463.5831
16,9,7336.3065
17,9,7082.2497
18,9,6879.6662
19,9,6626.8567
20,9,6444.0314
21,9,6205
22,9,6011
5,10,4868.7285
6,10,6083.1777
7,10,6640.4991
8,10,7341.2577
9,10,7567.3431
10,10,8032.2412
11,10,7971.7136
12,10,8080.4656
13,10,7955.2561
14,10,7993.3252
15,10,7839.7994
16,10,7751.911
17,10,7520.4151
18,10,7388.3463
19,10,7167.0673
20,10,7034.5317
21,10,6813.0902
22,10,6671
23,10,6436
24,10,6287
6,11,5522.7653
7,11,6202.2176
8,11,6937.8864
9,11,7298.5028
10,11,7765.5581
11,11,7915.6624
12,11,8111.4936
13,11,8063.4882
14,11,8101.3979
15,11,8004.2013
16,11,7956.9467
17,11,7799.2644
18,11,7682.1522
19,11,7501.9685
20,11,7398.6778
21,11,7219.8815
22,11,7089.9262
23,11,6886.4377
24,11,6745
25,11,6557
26,11,6403
27,11,6216
28,11,6056
7,12,5901.4992
8,12,6728.0252
9,12,7105.0317
10,12,7662.7645
11,12,7901.1229
12,12,8260.7103
13,12,8223.5028
14,12,8333.8711
15,12,8263.8525
16,12,8272.4531
17,12,8113.5317
18,12,8054.425
19,12,7869.1886
20,12,7803.8411
21,12,7636.4382
22,12,7550.3919
23,12,7356.2338
24,12,7244.4202
25,12,7055.1115
26,12,6928
27,12,6734
28,12,6598
29,12,6425
8,13,6297
9,13,6782
10,13,7335.7275
11,13,7649.5806
12,13,8021.1366
13,13,8149.7653
14,13,8331.5533
15,13,8309.8969
16,13,8348.4647
17,13,8261.1049
18,13,8225.518
19,13,8100.3449
20,13,8020.6172
21,13,7860.3506
22,13,7787.1243
23,13,7623.5154
24,13,7531.316
25,13,7370
26,13,7260
27,13,7097
28,13,6980
29,13,6829
30,13,6712
8,14,6044
9,14,6554
10,14,7167.2329
11,14,7480.1109
12,14,7924.7083
13,14,8124.342
14,14,8447.7445
15,14,8448.6361
16,14,8520.6549
17,14,8458.2916
18,14,8481.469
19,14,8361.0596
20,14,8337.1659
21,14,8169.5644
22,14,8112.5199
23,14,7952.9033
24,14,7892.8297
25,14,7730.9793
26,14,7655.8247
27,14,7482
28,14,7410
29,14,7251
30,14,7156
31,14,7004
9,15,6165
10,15,6794
11,15,7198
12,15,7661.0894
13,15,7907.4842
14,15,8251.2368
15,15,8353.5064
16,15,8481.1677
17,15,8464.1203
18,15,8513.8073
19,15,8448.1856
20,15,8446.2496
21,15,8307.8692
22,15,8267.5561
23,15,8147.2749
24,15,8097.9701
25,15,7981.4177
26,15,7906.5513
27,15,7765.9122
28,15,7681
29,15,7552
30,15,7456
31,15,7320
32,15,7209
10,16,6525
11,16,6960
12,16,7478.7911
13,16,7746.3826
14,16,8122.7081
15,16,8281.8013
16,16,8493.1301
17,16,8497.6304
18,16,8583.4986
19,16,8537.8511
20,16,8575.39
21,16,8459.9363
22,16,8448.7829
23,16,8344.2698
24,16,8329.3255
25,16,8229.6358
26,16,8193.2275
27,16,8063.8276
28,16,7996.0154
29,16,7867
30,16,7785
31,16,7652
32,16,7552
33,16,7400
11,17,6587
12,17,7129
13,17,7472.1698
14,17,7869.2101
15,17,8072.4058
16,17,8304.7557
17,17,8398.9706
18,17,8520.279
19,17,8521.9322
20,17,8570.2816
21,17,8505.4817
22,17,8494.4032
23,17,8427.766
24,17,8412.9593
25,17,8345.8864
26,17,8323.8672
27,17,8234.4788
28,17,8181.5991
29,17,8080.7757
30,17,7992
31,17,7883
32,17,7785
33,17,7651
34,17,7530
35,17,7386
11,18,6276
12,18,6866
13,18,7252
14,18,7700.0089
15,18,7928.9559
16,18,8197.6724
17,18,8327.4621
18,18,8519.9096
19,18,8527.1406
20,18,8614.2807
21,18,8562.5988
22,18,8595.2594
23,18,8534.3733
24,18,8555.6141
25,18,8488.2382
26,18,8493.8411
27,18,8419.9526
28,18,8412.3835
29,18,8311.425
30,18,8243.6656
31,18,8132
32,18,8054
33,18,7922
34,18,7827
35,18,7677
36,18,7578
12,19,6487
13,19,6920
14,19,7392
15,19,7670
16,19,7965.8409
17,19,8142.2233
18,19,8339.848
19,19,8438.0593
20,19,8557.0258
21,19,8538.0907
22,19,8576.0731
23,19,8551.2571
24,19,8576.2204
25,19,8546.7023
26,19,8554.6747
27,19,8518.0428
28,19,8514.8795
29,19,8434.2324
30,19,8372.2753
31,19,8288.5833
32,19,8221.335
33,19,8115.0303
34,19,8022.8488
35,19,7891
36,19,7792
37,19,7663
38,19,7563
39,19,7437
40,19,7332
13,20,6657
14,20,7173
15,20,7476
16,20,7815.8799
17,20,8003.4567
18,20,8240.0434
19,20,8369.6711
20,20,8551.3046
21,20,8546.7075
22,20,8616.5646
23,20,8600.6653
24,20,8658.1769
25,20,8630.5467
26,20,8668.9848
27,20,8639.3548
28,20,8666.6916
29,20,8594.85
30,20,8550.1639
31,20,8476.9135
32,20,8429.3821
33,20,8330.5778
34,20,8247.4967
35,20,8125.926
36,20,8033.1654
37,20,7912
38,20,7828
39,20,7708
40,20,7627
41,20,7503
14,21,6828
15,21,7166
16,21,7525
17,21,7751
18,21,8013.4575
19,21,8173.6697
20,21,8369.1979
21,21,8444.9303
22,21,8530.8265
23,21,8557.3805
24,21,8618.941
25,21,8622.0215
26,21,8665.0958
27,21,8656.2097
28,21,8686.2805
29,21,8633.4747
30,21,8597.2213
31,21,8534.6695
32,21,8492.8325
33,21,8404.8115
34,21,8333.3694
35,21,8233.5781
36,21,8158.1666
37,21,8054.9436
38,21,7976.4073
39,21,7873
40,21,7794
41,21,7688
42,21,7603
15,22,6926
16,22,7319
17,22,7566
18,22,7865.8632
19,22,8034.3889
20,22,8259.24
21,22,8352.8054
22,22,8533.5215
23,22,8555.7321
24,22,8656.4623
25,22,8661.2325
26,22,8723.0122
27,22,8711.1625
28,22,8755.7227
29,22,8708.9912
30,22,8691.8193
31,22,8631.1256
32,22,8599.6917
33,22,8518.9696
34,22,8467.9495
35,22,8372.9008
36,22,8307.629
37,22,8218
38,22,8152.7858
39,22,8058
40,22,7990
41,22,7891
42,22,7826
43,22,7726
16,23,7031
17,23,7310
